ANNOSCOLASTICO;CODICESCUOLA;INDIRIZZOSCUOLA;DenominazioneIstitutoRiferimento;DenominazioneScuola;CAPSCUOLA;PERCORSO;INDIRIZZOSCOLASTICA;ALUNNIMASCHI;ALUNNIFEMMINE
202021;MIRH038016;VIA LITTA MODIGNANI 65;GIUSEPPE LUIGI LAGRANGE;"""G. BRERA """;20161;SERVIZI;ACCOGLIENZA TURISTICA - TRIENNIO;5;17
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;62;28
202021;MITF11050X;VIA CRESCENZAGO 110;ITT-LS MOLINARI;MOLINARI;20132;TECNOLOGICO;INFORMATICA;33;3
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;SERVIZI;SERVIZI SOCIO-SANITARI;4;18
202021;MITF070009;PIAZZA TITO LUCREZIO CARO8;FELTRINELLI;FELTRINELLI;20136;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;49;17
202021;MIPS02201V;VIA U. DINI7;SALVADOR ALLENDE;SALVADOR ALLENDE;20141;CLASSICO;CLASSICO;11;8
202021;MIPM11000D;BASTIONI PORTA VOLTA 16;CARLO TENCA;CARLO TENCA;20121;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;21;54
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;EUROPEO;LICEO CLASSICO EUROPEO - ESABAC;6;11
202021;MITD09901Q;VIA SETTEMBRINI 4;SCHIAPARELLI-GRAMSCI;SCHIAPARELLI;20124;ECONOMICO;RELAZIONI INTERNAZIONALI PER IL MARKETING;1;12
202021;MITF290008;VIA A. DE VINCENTI 11;ETTORE CONTI;ETTORE CONTI;20148;TECNOLOGICO;TRASPORTI E LOGISTICA - BIENNIO COMUNE;22;0
202021;MIRI072015;VIA ALCUINO 4;SEVERI - CORRENTI;C.CORRENTI;20149;NUOVI PROFESSIONALI;ARTI AUSILIARIE DELLE PROFESSIONI SANITARIE: ODONTOTECNICO;22;26
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;TECNOLOGICO;BIOTECNOLOGIE SANITARIE;20;17
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;TECNOLOGICO;CHIMICA E MATERIALI;19;6
202021;MITN102018;VIA MELZI D'ERIL 9;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI-MARCO POLO;20154;ECONOMICO;TURISMO;15;34
202021;MIPM03000T;VIA TABACCHI 17;AGNESI;AGNESI;20136;SCIENZE UMANE;SCIENZE UMANE - OPZ. ECONOMICO SOCIALE;36;56
202021;MIRH038016;VIA LITTA MODIGNANI 65;GIUSEPPE LUIGI LAGRANGE;"""G. BRERA """;20161;SERVIZI;ENOGASTRONOMIA - TRIENNIO;43;26
